a	aː
ferðast	f ɛ r ð a s t
ferðatösku	f ɛ r ð a t œ s k ʏ
ferðatöskuna	f ɛ r ð a t œ s k ʏ n a
ferðaþjónusta	f ɛ r ð a θ j ouː n ʏ s t a
ferðaþjónustan	f ɛ r ð a θ j ouː n ʏ s t a n
ferðaþjónustu	f ɛ r ð a θ j ouː n ʏ s t ʏ
ferðaþjónustuna	f ɛ r ð a θ j ouː n ʏ s t ʏ n a
ferðaþjónustunnar	f ɛ r ð a θ j ouː n ʏ s t ʏ n a r
ferðaþjónustunni	f ɛ r ð a θ j ouː n ʏ s t ʏ n ɪ
ferðbúinn	f ɛ r ð p u i n
ferðin	f ɛ r ð ɪ n
ferðinni	f ɛ r ð ɪ n ɪ
ferðir	f ɛ r ð ɪ r
ferðirnar	f ɛ r ð ɪ t n a r
ferðist	f ɛ r ð ɪ s t
ferðu	f ɛ r ð ʏ
ferðuðumst	f ɛ r ð ʏ ð ʏ m s t
ferðuðust	f ɛ r ð ʏ ð ʏ s t
ferðum	f ɛ r ð ʏ m
ferðunum	f ɛ r ð ɔ n ʏ m
ferflötungar	f ɛ r̥ f l œ t u ŋ k a r
ferhyrnd	f ɛː r h ɪ n t
ferhyrndur	f ɛː r h ɪ r n t ʏ r
ferhyrnt	f ɛː r h ɪ n̥ t
feril	f ɛː r ɪ l
ferilefnum	f ɛː r ɪ l ɛ p n ʏ m
ferilinn	f ɛː r ɪ l ɪ n
ferill	f ɛː r ɪ t l̥
ferils	f ɛː r ɪ l s
ferja	f ɛ r j a
ferjan	f ɛ r j a n
ferju	f ɛ r j ʏ
ferjuna	f ɛ r j ʏ n a
ferjunnar	f ɛ r j ʏ n a r
ferjunni	f ɛ r j ʏ n ɪ
ferjur	f ɛ r j ʏ r
ferkantað	f ɛ r̥ k a n̥ t a ð
ferkílómetrar	f ɛ r̥ c i l ou m ɛː t r a r
ferlar	f ɛ r l a r
ferlega	f ɛ r l ɛ ɣ a
ferlegt	f ɛ r l ɛ x t
ferli	f ɛ r t l ɪ
ferlið	f ɛ r t l ɪ ð
ferlinu	f ɛ r t l ɪ n ʏ
ferlinum	f ɛ r t l ɪ n ʏ m
ferlíki	f ɛ r l i c ɪ
ferlum	f ɛ r t l ʏ m
ferma	f ɛ r m a
fermast	f ɛ r m a s t
fermat	f ɛ r m a t
fermd	f ɛ r m t
fermdist	f ɛ r m t ɪ s t
fermdur	f ɛ r m t ʏ r
fermetra	f ɛ r m ɛ t r a
fermetrar	f ɛ r m ɛ t r a r
fermetrum	f ɛ r m ɛ t r ʏ m
ferming	f ɛ r m i ŋ k
fermingar	f ɛ r m i ŋ k a r
fermingarbarna	f ɛ r m i ŋ k a r p a t n a
fermingarbörn	f ɛ r m i ŋ k a r p œ t n̥
fermingarfræðsla	f ɛ r m i ŋ k a r f r ai ð s t l a
fermingargjöf	f ɛ r m i ŋ k a r c œː v
fermingarguðsþjónusta	f ɛ r m i ŋ k a r k v ʏ ð s θ j ou n ʏ s t a
fermingarkjólar	f ɛ r m i ŋ k a r c ouː l a r
fermingarmessa	f ɛ r m i ŋ k a r m ɛ s a
fermingarpeningunum	f ɛ r m i ŋ k a r pʰ ɛː n i ŋ k ɔ n ʏ m
fermingarsysturnar	f ɛ r m i ŋ k a r s ɪ s t ʏ t n a r
fermingarundirbúningi	f ɛ r m i ŋ k a r ʏ n t ɪ r p uː n i ɲ c ɪ
fermingarveislu	f ɛ r m i ŋ k a r v ei s t l ʏ
fermingarveislum	f ɛ r m i ŋ k a r v ei s t l ʏ m
fermingin	f ɛ r m i ɲ c ɪ n
fermingu	f ɛ r m i ŋ k ʏ
ferminguna	f ɛ r m i ŋ k ʏ n a
fern	f ɛ r t n̥
fernar	f ɛ r t n a r
ferningur	f ɛ r t n i ŋ k ʏ r
fernir	f ɛ r t n ɪ r
fernu	f ɛ r t n ʏ
fernum	f ɛ r t n ʏ m
Ferrari	f ɛ r a r i
ferrarí	f ɛ r a r i
fersk	f ɛ r̥ s k
ferska	f ɛ r̥ s k a
ferskan	f ɛ r̥ s k a n
ferskar	f ɛ r̥ s k a n
ferskir	f ɛ r̥ s c ɪ r
ferskjur	f ɛ r̥ s c ʏ r
ferskjurnar	f ɛ r̥ s c ʏ t n a r
ferskleika	f ɛ r̥ s k l ei k a
ferskri	f ɛ r̥ s k r ɪ
fersksíldar	f ɛ r̥ s k s i l t a r
ferskt	f ɛ r̥ s t
fersku	f ɛ r̥ s k ʏ
ferskum	f ɛ r̥ s k ʏ m
ferskur	f ɛ r̥ s k ʏ r
ferst	f ɛ r̥ s t
fertugasta	f ɛ r̥ t ʏ ɣ a s t a
fertugasti	f ɛ r̥ t ʏ ɣ a s t ɪ
fertugs	f ɛ r̥ t ʏ x s
fertugt	f ɛ r̥ t ʏ x t
fertugur	f ɛ r̥ t ʏ ɣ ʏ r
fertugustu	f ɛ r̥ t ʏ ɣ ʏ s t ʏ
fest	f ɛ s t
festa	f ɛ s t a
festar	f ɛ s t a r
festast	f ɛ s t a s t
festi	f ɛ s t ɪ
festina	f ɛ s t ɪ n a
festingar	f ɛ s t i ŋ k a r
festingunni	f ɛ s t i ŋ k ʏ n ɪ
festir	f ɛ s t ɪ r
festist	f ɛ s t ɪ s t
festu	f ɛ s t ʏ
festulega	f ɛ s t ʏ l ɛ ɣ a
festum	f ɛ s t ʏ m
festur	f ɛ s t ʏ r
festust	f ɛ s t ʏ s t
fet	f ɛː t
feta	f ɛː t a
fetað	f ɛː t a ð
fetaði	f ɛː t a ð ɪ
fetar	f ɛː t a r
feti	f ɛː t ɪ
fets	f ɛː t s
fetuðu	f ɛː t ʏ ð ʏ
fetuðum	f ɛː t ʏ ð ʏ m
fetum	f ɛː t ʏ m
feykt	f ei x t
feyktist	f ei x t ɪ s t
feyktust	f ei x t ʏ s t
fé	f j ɛː
féð	f j ɛː ð
fékk	f j ɛ h k
fékkst	f j ɛ x s t
fékkstu	f j ɛ k s t ʏ
Félaga	f j ɛː l a ɣ a
félagana	f j ɛː l a ɣ a n a
félaganna	f j ɛː l a ɣ a n a
félagar	f j ɛː l a ɣ a r
félagarnir	f j ɛː l a ɣ a t n ɪ r
félagasamtaka	f j ɛː l a ɣ a s a m t a k a
félagasamtökum	f j ɛː l a ɣ s a m t œ k ʏ m
félagaskráin	f j ɛː l a ɣ a s k r auː ɪ n
félagi	f j ɛː l ai j ɪ
félagið	f j ɛː l ai j ɪ ð
félaginn	f j ɛː l ai j ɪ n
félagsfræði	f j ɛː l a x s f r aiː ð ɪ
félagsfræðingur	f j ɛː l a x s f r aiː ð i ŋ k ʏ r
félagsfund	f j ɛː l a x s f ʏ n t
félagsfundi	f j ɛː l a x s f ʏ n t ɪ
félagsgjöld	f j ɛː l a x s c œ l t
Félagsheimili	f j ɛː l a x s h eiː m ɪ l ɪ
Félagsheimilið	f j ɛː l a x s h eiː m ɪ l ɪ ð
Félagsheimilinu	f j ɛː l a x s h eiː m ɪ l ɪ n ʏ
félagsins	f j ɛː l a x s ɪ n s
félagsleg	f j ɛː l a x s t l ɛ ɣ
félagslega	f j ɛː l a x s t l ɛ ɣ a
félagslegan	f j ɛː l a x s t l ɛ ɣ a n
félagslegar	f j ɛː l a x s t l ɛ ɣ a r
félagslegra	f j ɛː l a x s t l ɛ ɣ r a
félagslegrar	f j ɛː l a x s t l ɛ ɣ r a r
félagslegri	f j ɛː l a x s t l ɛ ɣ r ɪ
félagslegs	f j ɛː l a x s t l ɛ x s
félagslegt	f j ɛː l a x s t l ɛ x t
félagslegu	f j ɛː l a x s t l ɛ ɣ ʏ
félagslegum	f j ɛː l a x s t l ɛ ɣ ʏ m
félagslið	f j ɛː l a x s t l ɪː ð
félagsliða	f j ɛː l a x s t l ɪː ð a
félagsliðum	f j ɛː l a x s t l ɪː ð ʏ m
félagslíf	f j ɛː l a x s t l iː v
félagslífi	f j ɛː l a x s t l iː v ɪ
félagslífið	f j ɛː l a x s t l iː v ɪ ð
félagslynd	f j ɛː l a x s t l ɪ n t
félagslyndur	f j ɛː l a x s t l ɪ n t ʏ r
félagsmaður	f j ɛː l a x s m aː ð ʏ r
félagsmanna	f j ɛː l a x s m a n a
félagsmál	f j ɛː l a x s m auː l
félagsmála	f j ɛː l a x s m auː l a
félagsmálaráðherra	f j ɛː l a x s m au l a r auː θ ɛ r a
félagsmálaráðuneytið	f j ɛː l a x s m au l a r auː ð ʏ n eiː t ɪ ð
félagsmálaráðuneytinu	f j ɛː l a x s m au l a r auː ð ʏ n eiː t ɪ n ʏ
félagsmálaráðuneytisins	f j ɛː l a x s m au l a r auː ð ʏ n eiː t ɪ s ɪ n s
félagsmálastjóri	f j ɛː l a x s m au l a s t j ouː r ɪ
félagsmálastofnun	f j ɛː l a x s m au l a s t ɔ p n ʏ m
félagsmálum	f j ɛː l a x s m auː l ʏ m
félagsmenn	f j ɛː l a x s m ɛ n
félagsmiðstöð	f j ɛː l a x s m ɪ ð s t œ ð
félagsmiðstöðinni	f j ɛː l a x s m ɪ ð s t œ ð ɪ n ɪ
félagsmiðstöðva	f j ɛː l a x s m ɪ ð s t œ ð v a
félagsmiðstöðvar	f j ɛː l a x s m ɪ ð s t œ ð v a r
félagsmönnum	f j ɛː l a x s m œ n ʏ m
félagsráðgjafa	f j ɛː l a x s r au ð c a v a
félagsráðgjafar	f j ɛː l a x s r au ð c a v a r
félagsráðgjafi	f j ɛː l a x s r au ð c a v ɪ
félagsráðgjafinn	f j ɛː l a x s r au ð c a v ɪ n
félagsráðgjöf	f j ɛː l a x s r au ð c œ v
félagsskap	f j ɛː l a x s k aː p
félagsskapar	f j ɛː l a x s k aː p a r
félagsstarf	f j ɛː l a x s t a r v
félagsstarfi	f j ɛː l a x s t a r v ɪ
félagsstarfið	f j ɛː l a x s t a r v ɪ ð
félagsstarfinu	f j ɛː l a x s t a r v ɪ n ʏ
félagsstarfs	f j ɛː l a x s t a r v s
félagsstörfum	f j ɛː l a x s t œ r v ʏ m
félagssvæði	f j ɛː l a x s v aiː ð ɪ
félagsvera	f j ɛː l a x s v ɛː r a
félagsvist	f j ɛː l a x s v ɪ s t
félagsvísindadeild	f j ɛː l a x s v iː s ɪ n t a t ei l t
Félagsvísindastofnun	f j ɛː l a x s v iː s ɪ n t a s t ɔ p n ʏ n
Félagsvísindastofnunar	f j ɛː l a x s v iː s ɪ n t a s t ɔ p n ʏ n a r
félagsþjónustan	f j ɛː l a x s θ j ouː n ʏ s t a n
félagsþjónustu	f j ɛː l a x s θ j ouː n ʏ s t ʏ
félagsþjónustunnar	f j ɛː l a x s θ j ouː n ʏ s t ʏ n a r
félagsþjónustunni	f j ɛː l a x s θ j ouː n ʏ s t ʏ n ɪ
féll	f j ɛ t l̥
féllist	f j ɛ t l ɪ s t
féllst	f j ɛ l s t
féllu	f j ɛ t l ʏ
féllust	f j ɛ t l ʏ s t
félög	f j ɛː l œ ɣ
félögin	f j ɛː l œy j ɪ n
félögum	f j ɛː l œ ɣ ʏ m
félögunum	f j ɛː l œ ɣ ɔ n ʏ m
fénu	f j ɛː n ʏ
fésið	f j ɛː s ɪ ð
fiðla	f ð ɪ l a
fiðlarinn	f ð l a r ɪ n
fiðlu	f ɪ ð l ʏ
fiðluleikara	f ɪ ð l ʏ l eiː k a r a
fiðluleikari	f ɪ ð l ʏ l eiː k a r ɪ
fiðluna	f ɪ ð l ʏ n a
fiðlur	f ɪ ð l ʏ r
fiðlusnillingsins	f ɪ ð l ʏ s t n ɪ t l i ŋ s ɪ n s
fiðrið	f ɪ ð r ɪ ð
fiðrildanna	f ɪ ð r ɪ l t a n a
fiðrildi	f ɪ ð r ɪ l t ɪ
fiðrildið	f ɪ ð r ɪ l t ɪ ð
fiðrildum	f ɪ ð r ɪ l t ʏ m
fiðring	f ɪ ð r i ŋ k
fiðringur	f ɪ ð r i ŋ k ʏ r
fiðursæng	f ɪ ð ʏ r s ai ŋ k
fiffar	f ɪ f a r
fikra	f ɪː k r a
fikruðu	f ɪː k r ʏ ð ʏ
fikta	f ɪ x t a
fiktaði	f ɪ x t a ð ɪ
Filippseyja	f ɪː l ɪ h p s ei j a
Filippusdóttur	f ɪː l ɪ p ʏ s t ou h t ʏ r
filman	f ɪ l m a
filmu	f ɪ l m ʏ
filmum	f ɪ l m ʏ m
filmuna	f ɪ l m ʏ n a
Filmundur	f ɪ l m ʏ n t ʏ r
filmunnar	f ɪ l m ʏ n a r
filmunni	f ɪ l m ʏ n ɪ
filmunum	f ɪ l m ɔ n ʏ m
filmur	f ɪ l m ʏ r
filmurnar	f ɪ l m ʏ t n a r
fim	f ɪː m
fima	f ɪː m a
fimbulfamb	f ɪ m p ʏ l f a m p
fimi	f ɪː m ɪ
fimlega	f ɪ m l ɛ ɣ a
fimleika	f ɪ m l ei k a
fimleikum	f ɪ m l ei k ʏ m
fimm	f ɪ m
fimmgangi	f ɪ m k au ɲ c ɪ
fimmgangur	f ɪ m k au ŋ k ʏ r
fimmhundruð	f ɪ m h ʏ n t r ʏ ð
fimmhundruðkall	f ɪ m h ʏ n t r ʏ ð k a t l̥
fimmleytið	f ɪ m l ei t ɪ ð
fimmta	f ɪ m̥ t a
fimmtán	f ɪ m̥ t au n
fimmtánda	f ɪ m̥ t au n t a
fimmtándi	f ɪ m̥ t au n t ɪ
fimmtándu	f ɪ m̥ t au n t ʏ
fimmti	f ɪ m̥ t ɪ
fimmtíu	f ɪ m̥ t i j ʏ
fimmtíukall	f ɪ m̥ t i j ʏ k a t l̥
fimmtu	f ɪ m̥ t ʏ
fimmtudag	f ɪ m̥ t ʏ t aː ɣ
fimmtudaga	f ɪ m̥ t ʏ t aː ɣ a
fimmtudaginn	f ɪ m̥ t ʏ t aiː j ɪ n
fimmtudags	f ɪ m̥ t ʏ t a x s
fimmtudagsins	f ɪ m̥ t ʏ t a x s ɪ n s
fimmtudagskvöld	f ɪ m̥ t ʏ t a x s k v œ l t
fimmtudagskvöldið	f ɪ m̥ t ʏ t a x s k v œ l t ɪ ð
fimmtudagskvöldum	f ɪ m̥ t ʏ t a x s k v œ l t ʏ m
fimmtudagsmorgnum	f ɪ m̥ t ʏ t a k s m ɔ r t n ʏ m
fimmtudagur	f ɪ m̥ t ʏ t aː ɣ ʏ r
fimmtudagurinn	f ɪ m̥ t ʏ t aː ɣ ʏ r ɪ n
fimmtudegi	f ɪ m̥ t ʏ t eiː j ɪ
fimmtudeginum	f ɪ m̥ t ʏ t eiː j ɪ n ʏ m
fimmtudögum	f ɪ m̥ t ʏ t œː ɣ ʏ m
fimmtug	f ɪ m̥ t ʏ ɣ
fimmtugar	f ɪ m̥ t ʏ ɣ a r
fimmtugasta	f ɪ m̥ t ʏ ɣ a s t a
fimmtugasti	f ɪ m̥ t ʏ ɣ a s t ɪ
fimmtugsaldri	f ɪ m̥ t ʏ ɣ s a l t r ɪ
fimmtugt	f ɪ m̥ t ʏ x t
fimmtugur	f ɪ m̥ t ʏ ɣ ʏ r
fimmtugustu	f ɪ m̥ t ʏ ɣ ʏ s t ʏ
fimmtung	f ɪ m̥ t u ŋ k
fimmtungur	f ɪ m̥ t u ŋ k ʏ r
fingraförum	f i ŋ k r a f œː r ʏ m
fingri	f i ŋ k r ɪ
fingrinum	f i ŋ k r ɪ n ʏ m
fingrum	f i ŋ k r ʏ m
fingurgóma	f i ŋ k ʏ r k ouː m a
fingurgómana	f i ŋ k ʏ r k ouː m a n a
fingurgómarnir	f i ŋ k ʏ r k ouː m a t n ɪ r
fingurinn	f i ŋ k ʏ r ɪ n
fingurkoss	f i ŋ k ʏ r k ɔ s
fingurmissir	f i ŋ k ʏ r m ɪ s ɪ r
fingurna	f i ŋ k ʏ t n a
fingurnir	f i ŋ k ʏ t n ɪ r
finkur	f i ŋ̊ k ʏ r
finn	f ɪ n
finna	f ɪ n a
finnandi	f ɪ n a n t ɪ
Finnar	f ɪ n a r
finnast	f ɪ n a s t
Finnbjörnsson	f ɪ n p j œ r̥ s ɔː n
Finnboga	f ɪ m p ɔ ɣ a
finndu	f ɪ n t ʏ
Finney	f ɪ n ei
finni	f ɪ n ɪ
finninn	f ɪ n ɪ n
finnir	f ɪ n ɪ r
finnist	f ɪ n ɪ s t
Finnland	f ɪ n l a n t
Finnlandi	f ɪ n l a n t ɪ
Finnlands	f ɪ n l a n t s
finnmörku	f ɪ n m œ r̥ k ʏ
Finns	f ɪ n s
Finnsdóttir	f ɪ n s t ou h t ɪ r
finnsk	f ɪ n s k
finnska	f ɪ n s k a
finnski	f ɪ n s c ɪ
finnsku	f ɪ n s k ʏ
finnskum	f ɪ n s k ʏ m
Finnsson	f ɪ n s ɔ n
Finnssonar	f ɪ n s ɔ n a r
finnst	f ɪ n s t
finnum	f ɪ n ʏ m
finnur	f ɪ n ʏ r
fipaðist	f ɪː p a ð ɪ s t
fipast	f ɪː p a s t
firði	f ɪ r ð ɪ
firðinum	f ɪ r ð ɪ n ʏ m
firðirnir	f ɪ r ð ɪ t n ɪ r
firnasterku	f ɪ r t n a s t ɛ r̥ k ʏ
firnindi	f ɪ r t n ɪ n t ɪ
firra	f ɪ r a
firringu	f ɪ r i ŋ k ʏ
fis	f ɪː s
fisk	f ɪ s k
fiska	f ɪ s k a
fiskabúrinu	f ɪ s k a p u r ɪ n ʏ
fiskaði	f ɪ s k a ð ɪ
fiskafurðir	f ɪ s k aː v ʏ r ð ɪ r
fiskafurðum	f ɪ s k aː v ʏ r ð ʏ m
fiskakvíslinni	f ɪ s k a kʰ v i s t l ɪ n ɪ
fiskar	f ɪ s k a r
fiskarnir	f ɪ s k a t n ɪ r
fiskeldi	f ɪ s k ɛ l t ɪ
fiskeldis	f ɪ s k ɛ l t ɪ s
fiski	f ɪ s c ɪ
fiskibátunum	f ɪ s c ɪ p auː t ʏ n ʏ m
fiskiðnaðarins	f ɪ s k ɪ ð n a ð a r ɪ n s
fiskiendur	f ɪ s c ɪ ɛ n t ʏ r
fiskifloti	f ɪ s c ɪ f l ɔː t ɪ
fiskiflugan	f ɪ s c ɪ f l ʏː ɣ a n
fiskifréttir	f ɪ s c ɪ f r j ɛ h t ɪ r
fiskifræðinga	f ɪ s c ɪ f r aiː ð i ŋ k a
fiskifræðingar	f ɪ s c ɪ f r aiː ð i ŋ k a r
fiskifræðingur	f ɪ s c ɪ f r aiː ð i ŋ k ʏ r
fiskimaður	f ɪ s c ɪ m aː ð ʏ r
fiskimanna	f ɪ s c ɪ m a n a
fiskimenn	f ɪ s c ɪ m ɛ n
fiskimið	f ɪ s c ɪ m ɪː ð
fiskimiðin	f ɪ s c ɪ m ɪː ð ɪ n
fiskimiðum	f ɪ s c ɪ m ɪː ð ʏ m
fiskimjöl	f ɪ s c ɪ m j œː l
fiskimjöli	f ɪ s c ɪ m j œː l ɪ
fiskimjöls	f ɪ s c ɪ m j œ l s
fiskimjölsverksmiðjunnar	f ɪ s c ɪ m j œ l s v ɛ r̥ k s m ɪ ð j ʏ n a r
fiskimjölsverksmiðjur	f ɪ s c ɪ m j œ l s v ɛ r̥ k s m ɪ ð j ʏ r
fiskinn	f ɪ s c ɪ n
fiskinnflytjandinn	f ɪ s k ɪ n f l ɪ t j a n t ɪ n
fiskinum	f ɪ s c ɪ n ʏ m
fiskipönnukökur	f ɪ s c ɪ p œ n ʏ kʰ œː k ʏ r
fiskiskip	f ɪ s c ɪ s c ɪː p
fiskiskipa	f ɪ s c ɪ s c ɪː p a
fiskiskipaflotans	f ɪ s c ɪ s c ɪ p a f l ɔː t a n s
fiskiskipum	f ɪ s c ɪ s c ɪː p ʏ m
fiskistofa	f ɪ s c ɪ s t ɔː v a
fiskistofna	f ɪ s c ɪ s t ɔ p n a
fiskistofnana	f ɪ s c ɪ s t ɔ p n a n a
fiskistofnanna	f ɪ s c ɪ s t ɔ p n a n a
fiskistofnum	f ɪ s c ɪ s t ɔ p n ʏ m
fiskistofu	f ɪ s c ɪ s t ɔː v ʏ
fiskjar	f ɪ s c a r
fiskmarkað	f ɪ s k m a r̥ k a ð
fiskmarkaði	f ɪ s k m a r̥ k a ð ɪ
fiskmörkuðum	f ɪ s k m œ r̥ k ʏ ð ʏ m
fiskpinna	f ɪ s k p ɪ n a
fiskrétti	f ɪ s k r j ɛ h t ɪ
fiskréttum	f ɪ s k r j ɛ h t ʏ m
fisks	f ɪ s k s
fisksins	f ɪ s k s ɪ n s
fiskstofna	f ɪ s k s t ɔ p n a
fisktegundinni	f ɪ s k tʰ ɛ ɣ ʏ n t ɪ n ɪ
fisktegundir	f ɪ s k t ɛ ɣ ʏ n t ɪ r
fisktegundum	f ɪ s k t ɛ ɣ ʏ n t ʏ m
fiskum	f ɪ s k ʏ m
fiskunum	f ɪ s k ɔ n ʏ m
fiskur	f ɪ s k ʏ r
fiskurinn	f ɪ s k ʏ r ɪ n
fiskveiða	f ɪ s k v ei ð a
fiskveiðar	f ɪ s k v ei ð a r
fiskveiðiár	f ɪ s k v ei ð ɪ auː r
fiskveiðiári	f ɪ s k v ei ð ɪ auː r ɪ
fiskveiðiárið	f ɪ s k v ei ð ɪ auː r ɪ ð
fiskveiðiárinu	f ɪ s k v ei ð ɪ auː r ɪ n ʏ
fiskveiðiárs	f ɪ s k v ei ð ɪ au r̥ s
fiskveiðiársins	f ɪ s k v ei ð ɪ au r̥ s ɪ n s
fiskveiðilögsögu	f ɪ s k v ei ð ɪ l œ x s œ ɣ ʏ
fiskveiðistjórn	f ɪ s k v ei ð ɪ s t j ou r t n̥
fiskveiðistjórnun	f ɪ s k v ei ð ɪ s t j ou r t n ʏ n
fiskveiðistjórnunar	f ɪ s k v ei ð ɪ s t j ou r t n ʏ n a r
fiskveiðistjórnunarkerfi	f ɪ s k v ei ð ɪ s t j ou r t n ʏ n a r c ɛ r v ɪ
fiskveiðistjórnunarkerfið	f ɪ s k v ei ð ɪ s t j ou r t n ʏ n a r c ɛ r v ɪ ð
fiskveiðum	f ɪ s k v ei ð ʏ m
fiskverð	f ɪ s k v ɛ r ð
fiskverkun	f ɪ s k v ɛ r̥ k ʏ n
fiskvinnslu	f ɪ s k v ɪ n s t l ʏ
fiskvinnslufyrirtæki	f ɪ s k v ɪ n s t l ʏ f ɪː r ɪ r t aiː c ɪ
fiskvinnslunnar	f ɪ s k v ɪ n s t l ʏ n a r
fiskvinnslustöðva	f ɪ s k v ɪ n s t l ʏ s t œ ð v a
fit	f ɪː t
fita	f ɪː t a
fitja	f ɪː t j a
fitjaði	f ɪː t j a ð ɪ
fitla	f ɪ h t l a
fitlaði	f ɪ h t l a ð ɪ
fitlar	f ɪ h t l a r
fitnað	f ɪ h t n a ð
fitness	f ɪ h t n ɛ s
fitu	f ɪː t ʏ
fituhlunk	f ɪː t ʏ l̥ u ŋ̊ k
fituhlutfall	f ɪː t ʏ l̥ ʏ t f a t l̥
fituminna	f ɪː t ʏ m ɪ n a
fituskert	f ɪː t ʏ s c ɛ r̥ t
fitusog	f ɪː t ʏ s ɔ ɣ
fitusýran	f ɪː t ʏ s iː r a n
fitusýrunum	f ɪː t ʏ s iː r ɔ n ʏ m
fitusöfnun	f ɪː t ʏ s œ p n ʏ n
fix	f ɪ k s
Fíat	f iː j a t
fídusar	f iː t ʏ s a r
fídusum	f iː t ʏ s ʏ m
fífil	f iː v ɪ l
fífill	f iː v ɪ t l̥
fífl	f i p l̥
fíflar	f i p l a r
fíflast	f i p l a s t
fífldirfsku	f i p l̥ t ɪ r̥ s k ʏ
Fíflholti	f i p l̥ h ɔ l̥ t ɪ
fíflið	f i p l ɪ ð
fíflin	f i p l ɪ n
fíflinu	f i p l ɪ n ʏ
fíflum	f i p l ʏ m
fígúrur	f iː k u r ʏ r
fíkjur	f iː c ʏ r
fíkjutré	f iː c ʏ t r j ɛː
fíkn	f i h k n̥
fíkniefna	f i h k n ɪ ɛ p n a
fíkniefnabrot	f i h k n ɪ ɛ p n a p r ɔː t
fíkniefnamál	f i h k n ɪ ɛ p n a m auː l
fíkniefnamálum	f i h k n ɪ ɛ p n a m auː l ʏ m
fíkniefnameðferðarstöðin	f i h k n ɪ ɛ p n a m ɛ ð f ɛ r ð a r s t œː ð ɪ n
fíkniefnaneyslu	f i h k n ɪ ɛ p n a n ei s t l ʏ
fíkniefnaneytendur	f i h k n ɪ ɛ p n a n eiː t ɛ n t ʏ r
fíkniefni	f i h k n ɪ ɛ p n ɪ
fíkniefnin	f i h k n ɪ ɛ p n ɪ n
fíkniefnum	f i h k n ɪ ɛ p n ʏ m
fíl	f iː l
fíla	f iː l a
fílabeini	f iː l a p eiː n ɪ
Fíladelfía	f iː l a t ɛ l f i j a
Fíladelfíu	f iː l a t ɛ l f i j ʏ
fín	f iː n
fína	f iː n a
fínan	f iː n a n
fínar	f iː n a r
fínasta	f iː n a s t a
fíngerð	f i ɲ c ɛ r ð
fíngerða	f i ɲ c ɛ r ð a
fíngerðan	f i ɲ c ɛ r ð a n
fíngerðu	f i ɲ c ɛ r ð ʏ
fíngerðum	f i ɲ c ɛ r ð ʏ m
fíngerður	f i ɲ c ɛ r ð ʏ r
fíngert	f i ɲ c ɛ r̥ t
fíni	f iː n ɪ
fínir	f iː n ɪ r
fínleg	f i n l ɛ ɣ
fínlega	f i n l ɛ ɣ a
fínlegu	f i n l ɛ ɣ ʏ
fínlegum	f i n l ɛ ɣ ʏ m
fínn	f i t n̥
fínna	f i t n a
fínni	f i t n ɪ
fínt	f i n̥ t
fínum	f iː n ʏ m
fínustu	f iː n ʏ s t ʏ
fjaðrafoki	f j a ð r a f ɔː c ɪ
fjaðrahamur	f j a ð r a h aː m ʏ r
fjaðrir	f j a ð r ɪ r
fjaðrirnar	f j a ð r ɪ t n a r
fjaðurstuðul	f j aː ð ʏ r s t ʏː ð ʏ l
fjalar	f j aː l a r
fjalarsson	f j aː l a r s ɔ n
fjalhögg	f j a t l̥ h œ k
fjalhöggið	f j aː l h œ c ɪ ð
fjalir	f j aː l ɪ r
fjalirnar	f j aː l ɪ t n a r
fjall	f j a t l̥
fjalla	f j a t l a
fjallabaksleið	f j a t l a p a k s t l eiː ð
fjallaði	f j a t l a ð ɪ
fjallagestum	f j a t l a c ɛ s t ʏ m
fjallalestinni	f j a t l a l ɛ s t ɪ n ɪ
fjallamanna	f j a t l a m a n a
fjallamennsku	f j a t l a m ɛ n s k ʏ
fjallanna	f j a t l a n a
fjallar	f j a t l a r
fjallasport	f j a t l a s p ɔ r̥ t
fjalldal	f j a l t a l
fjalldrapi	f j a l t r aː p ɪ
fjallgarðar	f j a t l̥ k a r ð a r
fjallgarðinn	f j a t l̥ k a r ð ɪ n
fjalli	f j a t l ɪ
fjallið	f j a t l ɪ ð
fjallinu	f j a t l ɪ n ʏ
fjallkirkju	f j a t l̥ cʰ ɪ r̥ c ʏ
fjallkonuna	f j a t l̥ kʰ ɔː n ʏ n a
fjalllendi	f j a t l ɛ n t ɪ
fjallnykra	f j a t l̥ n ɪː k r a
fjalls	f j a l s
fjallsbrúninni	f j a l s p r u n ɪ n ɪ
fjallshlíð	f j a l s l̥ i ð
fjallshlíðarnar	f j a l s l̥ i ð a t n a r
fjallshlíðina	f j a l s l̥ i ð ɪ n ɪ
fjallshlíðum	f j a l s l̥ i ð ʏ m
fjallsins	f j a l s ɪ n s
fjallsmynni	f j a l s m ɪ n ɪ
fjallsræturnar	f j a l s r ai t ʏ t n a r
fjallstindinum	f j a l s t ɪ n t ɪ n ʏ m
fjanda	f j a n t a
fjandakornið	f j a n t a k ɔ t n ɪ ð
fjandann	f j a n t a n
fjandans	f j a n t a n s
fjandanum	f j a n t a n ʏ m
fjandi	f j a n t ɪ
fjandinn	f j a n t ɪ n
fjandmaður	f j a n t m a ð ʏ r
fjandmenn	f j a n t m ɛ n
fjandmönnum	f j a n t m œ n ʏ m
fjandsamleg	f j a n t s a m l ɛ ɣ
